Temporada,Equipo,J1,J2,J3,J4,J5,J6,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26,J27,J28,J29,J30,J31,J32,J33,J34,J35,J36,J37,J38,J39,J40,J41,J42,J43,J44
1928-29,Barcelona,Ramón Melcón Bartolomé,José María Steimborn Ludeuvik,Alejandro Quintana,Santiago Insausti,José María Murguía Ortiz,José María Murguía Ortiz,Ramón Melcón Bartolomé,Pedro Escartín Morán,José María Navaz Sanz,José María Murguía Ortiz,Joaquín Menchaca González,Pedro Escartín Morán,Pedro Escartín Morán,Guillermo Comorera Gatuellas,Joaquín Menchaca González,Pedro Escartín Morán,Pedro Escartín Morán,Eloy Hernández Areces,,,,,,,,,,,,,,,,,,,,,,,,,,
1928-29,Real Madrid,Eloy Hernández Areces,José María Steimborn Ludeuvik,Guillermo Comorera Gatuellas,Agustín Vilalta Bars,Pablo Saracho Goitia,José María Steimborn Ludeuvik,Agustín Vilalta Bars,José María Steimborn Ludeuvik,Joaquín Menchaca González,Guillermo Comorera Gatuellas,Joaquín Menchaca González,Guillermo Comorera Gatuellas,Guillermo Comorera Gatuellas,Agustín Vilalta Bars,Alejandro Quintana,Alejandro Quintana,Fausto Martín Arnáiz,Joaquín Menchaca González,,,,,,,,,,,,,,,,,,,,,,,,,,
1928-29,Athletic Club,Pelayo Serrano de la Mata,Pedro Escartín Morán,Pedro Escartín Morán,Joaquín Menchaca González,Santiago Insausti,Ezequiel Montero Román,Ramón Melcón Bartolomé,José Barrena,Joaquín Menchaca González,José Barrena,Ramón Melcón Bartolomé,Santiago Insausti,Ramón Melcón Bartolomé,Santiago Insausti,Ezequiel Montero Román,Pedro Escartín Morán,Alejandro Quintana,Joaquín Menchaca González,,,,,,,,,,,,,,,,,,,,,,,,,,
1928-29,Real Sociedad,Pelayo Serrano de la Mata,Eloy Hernández Areces,Alejandro Quintana,Agustín Vilalta Bars,José María Navaz Sanz,Santiago Ledesma,Pedro Escartín Morán,Agustín Cruella Tena,Ramón Melcón Bartolomé,José Barrena,Pelayo Serrano de la Mata,Pedro Escartín Morán,Guillermo Comorera Gatuellas,Ramón Melcón Bartolomé,Pelayo Serrano de la Mata,Agustín Cruella Tena,Agustín Vilalta Bars,José María Navaz Sanz,,,,,,,,,,,,,,,,,,,,,,,,,,
1928-29,Arenas,Santiago Insausti,Ramón Melcón Bartolomé,Ezequiel Montero Román,Santiago Insausti,Santiago Insausti,Santiago Ledesma,Antonio Adrados Martín,José María Steimborn Ludeuvik,Pedro Escartín Morán,Eloy Hernández Areces,Joaquín Menchaca González,Pedro Escartín Morán,Pedro Escartín Morán,Santiago Insausti,Pelayo Serrano de la Mata,Ramón Melcón Bartolomé,Fausto Martín Arnáiz,Santiago Insausti,,,,,,,,,,,,,,,,,,,,,,,,,,
1928-29,Atlético de Madrid,Santiago Insausti,Eloy Hernández Areces,Guillermo Comorera Gatuellas,Pelayo Serrano de la Mata,José María Murguía Ortiz,Pelayo Serrano de la Mata,Santiago Insausti,José Barrena,Guillermo Comorera Gatuellas,Eloy Hernández Areces,Pelayo Serrano de la Mata,Guillermo Comorera Gatuellas,Alejandro Quintana,Guillermo Comorera Gatuellas,José María Murguía Ortiz,Pedro Vicente Saturnino Vallana Jeanguenat,Alejandro Quintana,Luis González Romera,,,,,,,,,,,,,,,,,,,,,,,,,,
1928-29,Espanyol,Pedro Escartín Morán,Pedro Escartín Morán,José Llovera Mas,Pedro Escartín Morán,José María Navaz Sanz,José María Steimborn Ludeuvik,Antonio Adrados Martín,Pedro Escartín Morán,Guillermo Comorera Gatuellas,Pedro Escartín Morán,Ramón Melcón Bartolomé,Guillermo Comorera Gatuellas,José María Steimborn Ludeuvik,Ramón Melcón Bartolomé,Alejandro Quintana,Ramón Melcón Bartolomé,Pedro Escartín Morán,Luis González Romera,,,,,,,,,,,,,,,,,,,,,,,,,,
1928-29,Europa,Eloy Hernández Areces,Ramón Melcón Bartolomé,José Llovera Mas,Joaquín Menchaca González,Pedro Escartín Morán,José María Murguía Ortiz,Santiago Insausti,Eloy Hernández Areces,Ramón Melcón Bartolomé,Guillermo Comorera Gatuellas,Joaquín Menchaca González,Guillermo Comorera Gatuellas,Ramón Melcón Bartolomé,José María Navaz Sanz,Joaquín Menchaca González,Pedro Vicente Saturnino Vallana Jeanguenat,José María Murguía Ortiz,José María Navaz Sanz,,,,,,,,,,,,,,,,,,,,,,,,,,
1928-29,Real Unión,Pedro Escartín Morán,Ezequiel Montero Román,Ezequiel Montero Román,Pelayo Serrano de la Mata,Pedro Escartín Morán,Ezequiel Montero Román,Agustín Vilalta Bars,Agustín Cruella Tena,José María Navaz Sanz,Pedro Escartín Morán,Pelayo Serrano de la Mata,Pedro Escartín Morán,Alejandro Quintana,José María Navaz Sanz,Ezequiel Montero Román,Alejandro Quintana,Agustín Vilalta Bars,Eloy Hernández Areces,,,,,,,,,,,,,,,,,,,,,,,,,,
1928-29,Racing de Santander,Ramón Melcón Bartolomé,Ezequiel Montero Román,Pedro Escartín Morán,Pedro Escartín Morán,Pablo Saracho Goitia,Pelayo Serrano de la Mata,Pedro Escartín Morán,Eloy Hernández Areces,Pedro Escartín Morán,José María Murguía Ortiz,Pelayo Serrano de la Mata,Santiago Insausti,José María Steimborn Ludeuvik,Agustín Vilalta Bars,José María Murguía Ortiz,Agustín Cruella Tena,José María Murguía Ortiz,Santiago Insausti,,,,,,,,,,,,,,,,,,,,,,,,,,
1929-30,Athletic Club,Agustín Vilalta Bars,Ramón Melcón Bartolomé,Ramón Melcón Bartolomé,Ramón Melcón Bartolomé,José Llovera Mas,Pedro Escartín Morán,Alejandro Quintana,Santiago Insausti,Santiago Insausti,Alejandro Quintana,Ramón Melcón Bartolomé,Pedro Escartín Morán,Ramón Melcón Bartolomé,José Barrena,Santiago Insausti,Ramón Melcón Bartolomé,Santiago Insausti,Santiago Insausti,,,,,,,,,,,,,,,,,,,,,,,,,,
1929-30,Barcelona,Jaime Villena Gascó,José María Steimborn Ludeuvik,José Llovera Mas,Eloy Hernández Areces,Pedro Escartín Morán,José María Steimborn Ludeuvik,Alejandro Quintana,Pedro Escartín Morán,Alejandro Quintana,José Barrena,José Barrena,Jesús Arribas Seijas,José María Steimborn Ludeuvik,Pedro Escartín Morán,José Barrena,Ramón Melcón Bartolomé,Pedro Escartín Morán,José María Steimborn Ludeuvik,,,,,,,,,,,,,,,,,,,,,,,,,,
1929-30,Arenas,José Barrena,José María Steimborn Ludeuvik,Pedro Escartín Morán,Santiago Insausti,José Llovera Mas,Santiago Ledesma,Fausto Martín Arnáiz,Guillermo Comorera Gatuellas,Agustín Vilalta Bars,Ildefonso Cortadi Garmendia,José Barrena,Santiago Insausti,Eloy Hernández Areces,José Barrena,Gerónimo Olartecoechea Elorza,Jaime Villena Gascó,Fausto Martín Arnáiz,José Barrena,,,,,,,,,,,,,,,,,,,,,,,,,,
1929-30,Espanyol,José María Steimborn Ludeuvik,Guillermo Comorera Gatuellas,José Barrena,Ramón Melcón Bartolomé,Alejandro Quintana,Guillermo Comorera Gatuellas,Fausto Martín Arnáiz,Pedro Escartín Morán,José María Steimborn Ludeuvik,Pablo Saracho Goitia,Pedro Escartín Morán,Eloy Hernández Areces,Ramón Melcón Bartolomé,Guillermo Comorera Gatuellas,Tomás Balaguer García,Jaime Villena Gascó,Pedro Escartín Morán,Guillermo Comorera Gatuellas,,,,,,,,,,,,,,,,,,,,,,,,,,
1929-30,Real Madrid,Agustín Vilalta Bars,Ezequiel Montero Román,Ezequiel Montero Román,José María Steimborn Ludeuvik,Alejandro Quintana,Agustín Vilalta Bars,José María Steimborn Ludeuvik,Guillermo Comorera Gatuellas,Alejandro Quintana,Alejandro Quintana,Santiago Ledesma,Tomás Balaguer García,José María Navaz Sanz,Guillermo Comorera Gatuellas,Pablo Saracho Goitia,Santiago Insausti,Fausto Martín Arnáiz,José María Steimborn Ludeuvik,,,,,,,,,,,,,,,,,,,,,,,,,,
