Temporada,Equipo,J1,J2,J3,J4,J5,J6,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26,J27,J28,J29,J30,J31,J32,J33,J34,J35,J36,J37,J38,J39,J40,J41,J42,J43,J44
1928-29,Barcelona,G,P,P,E,P,G,P,G,G,G,G,G,G,G,E,G,E,G,,,,,,,,,,,,,,,,,,,,,,,,,,
1928-29,Real Madrid,G,G,G,G,G,P,G,P,G,P,P,G,P,E,G,G,G,P,,,,,,,,,,,,,,,,,,,,,,,,,,
1928-29,Athletic Club,E,G,G,G,P,P,G,G,P,G,P,E,E,P,G,P,E,G,,,,,,,,,,,,,,,,,,,,,,,,,,
1928-29,Real Sociedad,E,G,G,P,E,P,G,G,P,P,E,P,G,E,G,P,G,G,,,,,,,,,,,,,,,,,,,,,,,,,,
1928-29,Arenas,P,P,E,E,G,G,G,G,G,G,E,P,P,G,P,G,P,P,,,,,,,,,,,,,,,,,,,,,,,,,,
1928-29,Atlético de Madrid,G,P,P,G,G,G,P,P,P,P,E,P,G,P,G,G,E,G,,,,,,,,,,,,,,,,,,,,,,,,,,
1928-29,Espanyol,G,P,G,G,E,G,P,P,G,P,G,G,E,E,P,P,E,P,,,,,,,,,,,,,,,,,,,,,,,,,,
1928-29,Europa,P,G,P,P,E,P,G,P,G,G,E,P,E,G,E,P,G,P,,,,,,,,,,,,,,,,,,,,,,,,,,
1928-29,Real Unión,P,G,E,P,E,G,P,P,P,G,G,G,P,P,P,P,P,P,,,,,,,,,,,,,,,,,,,,,,,,,,
1928-29,Racing de Santander,P,P,P,P,P,P,P,G,P,P,P,E,E,E,P,G,P,G,,,,,,,,,,,,,,,,,,,,,,,,,,
1929-30,Athletic Club,G,E,E,E,E,G,E,G,G,G,G,G,G,G,E,G,G,G,,,,,,,,,,,,,,,,,,,,,,,,,,
1929-30,Barcelona,G,G,G,G,G,G,E,P,P,G,G,G,P,G,P,P,G,P,,,,,,,,,,,,,,,,,,,,,,,,,,
1929-30,Arenas,P,P,G,P,E,E,G,P,G,G,P,G,G,P,G,P,G,G,,,,,,,,,,,,,,,,,,,,,,,,,,
1929-30,Espanyol,P,G,E,E,G,P,P,G,P,G,P,G,P,G,G,G,P,G,,,,,,,,,,,,,,,,,,,,,,,,,,
1929-30,Real Madrid,P,E,P,P,P,G,G,G,G,P,E,G,E,P,P,G,P,G,,,,,,,,,,,,,,,,,,,,,,,,,,
1929-30,Real Unión,G,E,E,E,P,P,G,G,G,P,E,P,G,P,E,P,G,P,,,,,,,,,,,,,,,,,,,,,,,,,,
1929-30,Real Sociedad,P,G,E,G,P,E,E,P,G,P,P,P,E,G,P,G,P,P,,,,,,,,,,,,,,,,,,,,,,,,,,
1929-30,Racing de Santander,G,P,P,P,G,P,P,G,P,P,G,P,G,P,G,G,P,P,,,,,,,,,,,,,,,,,,,,,,,,,,
1929-30,Europa,P,E,P,G,G,G,P,P,P,G,P,P,P,P,P,P,G,G,,,,,,,,,,,,,,,,,,,,,,,,,,
1929-30,Atlético de Madrid,G,P,G,E,P,P,E,P,P,P,G,P,P,G,G,P,P,P,,,,,,,,,,,,,,,,,,,,,,,,,,
1930-31,Athletic Club,P,G,P,G,P,G,G,G,G,G,P,G,G,G,P,P,G,P,,,,,,,,,,,,,,,,,,,,,,,,,,
1930-31,Racing de Santander,G,P,G,E,P,G,G,G,P,G,G,P,P,G,E,G,P,G,,,,,,,,,,,,,,,,,,,,,,,,,,
1930-31,Real Sociedad,E,P,G,G,G,G,G,G,P,G,G,P,E,P,P,G,P,G,,,,,,,,,,,,,,,,,,,,,,,,,,
1930-31,Barcelona,G,E,P,E,P,G,E,E,E,P,P,G,G,G,E,G,E,G,,,,,,,,,,,,,,,,,,,,,,,,,,
1930-31,Arenas,P,P,G,P,G,P,P,G,G,E,E,G,G,P,G,P,G,P,,,,,,,,,,,,,,,,,,,,,,,,,,
1930-31,Real Madrid,G,E,P,G,G,P,P,P,E,E,G,P,G,P,E,G,G,P,,,,,,,,,,,,,,,,,,,,,,,,,,
1930-31,Real Unión,G,E,P,P,G,P,E,P,P,E,P,G,E,P,G,P,G,G,,,,,,,,,,,,,,,,,,,,,,,,,,
1930-31,Alavés,E,G,G,P,P,G,P,E,G,P,E,P,P,G,P,P,E,P,,,,,,,,,,,,,,,,,,,,,,,,,,
1930-31,Espanyol,P,G,P,G,P,P,G,P,G,E,P,G,P,G,E,P,P,P,,,,,,,,,,,,,,,,,,,,,,,,,,
1930-31,Europa,P,E,G,P,G,P,P,P,P,P,G,P,P,P,G,G,P,G,,,,,,,,,,,,,,,,,,,,,,,,,,
1931-32,Real Madrid,E,G,E,G,E,G,G,E,G,E,G,G,G,G,G,E,E,E,,,,,,,,,,,,,,,,,,,,,,,,,,
1931-32,Athletic Club,E,G,G,G,E,G,P,G,G,E,G,G,G,G,P,G,P,P,,,,,,,,,,,,,,,,,,,,,,,,,,
1931-32,Barcelona,G,E,G,P,G,G,E,G,P,G,G,E,P,P,G,G,G,E,,,,,,,,,,,,,,,,,,,,,,,,,,
1931-32,Racing de Santander,G,G,P,E,P,G,G,E,P,E,P,E,E,G,P,G,E,G,,,,,,,,,,,,,,,,,,,,,,,,,,
1931-32,Arenas,G,E,G,P,E,P,G,P,P,P,P,E,G,P,G,P,G,G,,,,,,,,,,,,,,,,,,,,,,,,,,
1931-32,Espanyol,G,P,P,G,P,P,G,P,G,P,G,E,P,G,P,P,G,P,,,,,,,,,,,,,,,,,,,,,,,,,,
1931-32,Valencia,P,G,E,P,E,P,E,P,G,G,P,P,G,P,G,P,G,P,,,,,,,,,,,,,,,,,,,,,,,,,,
1931-32,Real Sociedad,P,P,G,G,G,P,P,P,P,G,P,G,P,P,G,P,P,G,,,,,,,,,,,,,,,,,,,,,,,,,,
1931-32,Alavés,P,P,P,P,G,P,P,G,G,E,P,P,P,P,P,G,P,G,,,,,,,,,,,,,,,,,,,,,,,,,,
1931-32,Real Unión,P,P,P,E,P,G,P,G,P,P,G,P,E,G,P,E,P,P,,,,,,,,,,,,,,,,,,,,,,,,,,
