Temporada,Equipo,J1,J2,J3,J4,J5,J6,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26,J27,J28,J29,J30,J31,J32,J33,J34,J35,J36,J37,J38,J39,J40,J41,J42,J43,J44
1928-29,Barcelona,0,2,3,2,4,2,5,0,1,1,0,0,0,0,1,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
1928-29,Real Madrid,0,1,1,1,1,4,0,3,1,5,1,0,5,2,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,
1928-29,Athletic Club,1,0,0,0,1,6,1,2,5,2,4,0,1,3,1,3,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,
1928-29,Real Sociedad,1,0,0,2,1,3,1,2,4,4,3,1,4,1,2,6,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,
1928-29,Arenas,3,5,1,2,0,0,1,2,1,1,2,7,2,2,3,0,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,
1928-29,Atlético de Madrid,2,3,2,1,1,0,4,3,3,2,3,3,1,4,1,4,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,
1928-29,Espanyol,2,9,1,0,1,0,2,1,2,4,1,0,1,1,2,3,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,
1928-29,Europa,5,2,3,2,3,5,1,3,3,2,2,3,1,2,1,5,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,
1928-29,Real Unión,3,1,1,2,3,3,2,3,2,3,1,1,3,3,2,2,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,
1928-29,Racing de Santander,2,3,4,3,3,4,8,2,2,5,3,0,1,2,2,1,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,
1929-30,Athletic Club,1,2,2,2,3,2,1,1,0,2,0,1,0,2,1,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,
1929-30,Barcelona,0,1,1,0,1,2,1,4,4,1,1,0,2,2,3,4,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,
1929-30,Arenas,3,3,2,3,3,4,0,5,1,2,3,1,1,5,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
1929-30,Espanyol,4,0,3,2,2,2,2,0,1,0,2,1,6,1,1,0,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,
1929-30,Real Madrid,2,2,2,4,4,0,1,2,1,3,2,1,1,8,2,1,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,
1929-30,Real Unión,2,2,3,3,3,5,3,2,0,7,2,3,2,4,1,4,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,
1929-30,Real Sociedad,3,0,2,0,3,4,1,3,0,2,2,7,1,0,3,0,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,
1929-30,Racing de Santander,1,7,5,5,2,6,6,0,4,3,0,5,1,3,0,2,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,
1929-30,Europa,5,2,2,2,2,1,2,6,1,0,3,3,2,2,2,6,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,
1929-30,Atlético de Madrid,3,1,1,3,3,4,1,6,3,2,0,4,8,1,2,2,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,
1930-31,Athletic Club,6,1,4,1,2,2,0,1,2,1,1,1,1,1,3,4,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,
1930-31,Racing de Santander,1,4,1,1,5,0,2,1,4,1,0,7,1,4,0,0,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,
1930-31,Real Sociedad,2,6,1,2,2,1,1,1,1,1,0,5,3,7,2,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,
1930-31,Barcelona,3,2,4,1,5,2,1,1,0,12,2,1,0,0,4,3,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
1930-31,Arenas,2,3,1,5,0,5,3,1,2,2,1,1,0,2,2,4,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,
1930-31,Real Madrid,0,1,4,1,0,3,6,2,0,1,0,2,0,2,0,2,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,
1930-31,Real Unión,1,1,2,4,1,3,1,4,3,2,3,3,3,4,1,5,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,
1930-31,Alavés,2,2,1,7,1,1,5,1,0,2,1,2,4,0,4,4,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
1930-31,Espanyol,2,1,4,0,6,6,0,5,0,1,4,0,1,2,4,3,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,
1930-31,Europa,2,2,1,3,1,3,4,4,2,2,0,4,3,4,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
1931-32,Real Madrid,1,1,1,0,2,0,2,0,0,3,0,1,0,0,1,1,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,
1931-32,Athletic Club,1,2,1,0,0,1,1,1,2,3,0,1,1,2,3,0,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,
1931-32,Barcelona,1,2,0,3,2,0,0,0,2,2,1,2,3,3,1,2,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,
1931-32,Racing de Santander,1,1,3,2,4,1,1,0,3,1,6,1,2,2,6,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
1931-32,Arenas,1,2,1,4,2,1,2,4,3,7,3,1,2,4,0,3,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
1931-32,Espanyol,0,2,3,2,4,3,0,4,0,3,1,2,3,0,2,4,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,
1931-32,Valencia,3,1,1,7,0,4,0,2,2,1,3,4,0,7,4,3,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,
1931-32,Real Sociedad,2,2,1,1,0,5,5,2,2,0,1,1,4,2,2,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,
1931-32,Alavés,2,3,2,5,1,6,4,1,0,1,1,4,1,4,3,1,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,
1931-32,Real Unión,3,5,5,2,5,0,3,1,2,3,2,2,2,0,5,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,
1932-33,Real Madrid,2,2,0,1,0,1,1,1,0,0,1,0,0,0,1,4,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,
1932-33,Athletic Club,1,0,1,2,0,2,3,1,2,1,5,4,2,0,2,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,
1932-33,Espanyol,1,0,1,0,0,1,1,1,1,2,2,3,5,6,2,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,
1932-33,Barcelona,2,0,2,2,2,1,1,1,0,2,2,2,5,1,2,3,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,
1932-33,Betis,9,2,2,4,1,2,1,2,2,5,2,2,0,4,2,3,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
1932-33,Real Sociedad,2,6,4,1,3,4,1,7,1,3,2,2,1,1,1,2,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,
1932-33,Arenas,3,2,3,5,1,0,1,5,2,2,3,2,1,2,1,3,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,
1932-33,Racing de Santander,8,1,2,0,2,2,4,1,4,0,9,1,6,1,3,2,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,
1932-33,Valencia,2,3,2,2,6,1,4,5,2,2,1,4,2,1,5,2,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,
1932-33,Alavés,2,2,1,3,2,3,3,0,5,9,1,2,0,4,1,0,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,
1933-34,Athletic Club,2,0,2,0,2,1,3,1,3,2,1,2,1,0,3,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,
