Temporada,Equipo,J1,J2,J3,J4,J5,J6,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26,J27,J28,J29,J30,J31,J32,J33,J34,J35,J36,J37,J38,J39,J40,J41,J42,J43,J44
1928-29,Barcelona,V,L,V,L,V,L,V,L,V,L,V,L,V,L,V,L,V,L,,,,,,,,,,,,,,,,,,,,,,,,,,
1928-29,Real Madrid,L,V,L,L,V,V,L,V,L,V,L,V,V,L,L,V,L,V,,,,,,,,,,,,,,,,,,,,,,,,,,
1928-29,Athletic Club,V,L,V,L,V,V,L,V,V,L,V,L,V,L,L,V,L,L,,,,,,,,,,,,,,,,,,,,,,,,,,
1928-29,Real Sociedad,L,V,L,V,L,V,L,V,V,V,L,V,L,V,L,V,L,L,,,,,,,,,,,,,,,,,,,,,,,,,,
1928-29,Arenas,L,V,L,V,L,L,V,L,L,V,L,V,L,V,V,L,V,V,,,,,,,,,,,,,,,,,,,,,,,,,,
1928-29,Atlético de Madrid,V,L,V,V,L,L,V,L,V,L,V,L,L,V,V,L,V,L,,,,,,,,,,,,,,,,,,,,,,,,,,
1928-29,Espanyol,L,V,L,L,V,L,L,V,L,V,L,V,V,L,V,V,L,V,,,,,,,,,,,,,,,,,,,,,,,,,,
1928-29,Europa,V,L,V,V,L,V,L,V,L,L,V,L,L,V,L,V,L,V,,,,,,,,,,,,,,,,,,,,,,,,,,
1928-29,Real Unión,V,L,V,L,V,L,V,L,L,L,V,L,V,L,V,L,V,V,,,,,,,,,,,,,,,,,,,,,,,,,,
1928-29,Racing de Santander,L,V,L,V,L,V,V,L,V,V,L,V,L,V,L,L,V,L,,,,,,,,,,,,,,,,,,,,,,,,,,
1929-30,Athletic Club,L,V,L,V,V,L,V,L,L,V,L,V,L,L,V,L,V,V,,,,,,,,,,,,,,,,,,,,,,,,,,
1929-30,Barcelona,L,V,L,L,V,L,L,V,L,V,L,V,V,L,V,V,L,V,,,,,,,,,,,,,,,,,,,,,,,,,,
1929-30,Arenas,V,L,V,L,L,V,L,V,V,L,V,L,V,V,L,V,L,L,,,,,,,,,,,,,,,,,,,,,,,,,,
1929-30,Espanyol,V,L,V,L,V,L,V,L,V,L,V,L,V,L,V,L,V,L,,,,,,,,,,,,,,,,,,,,,,,,,,
1929-30,Real Madrid,V,L,V,V,L,L,V,L,V,L,V,L,L,V,V,L,V,L,,,,,,,,,,,,,,,,,,,,,,,,,,
1929-30,Real Unión,L,V,L,V,L,V,L,V,V,V,L,V,L,V,L,V,L,L,,,,,,,,,,,,,,,,,,,,,,,,,,
1929-30,Real Sociedad,V,L,V,L,V,L,V,L,L,L,V,L,V,L,V,L,V,V,,,,,,,,,,,,,,,,,,,,,,,,,,
1929-30,Racing de Santander,L,V,L,V,L,V,V,L,V,V,L,V,L,V,L,L,V,L,,,,,,,,,,,,,,,,,,,,,,,,,,
1929-30,Europa,V,L,V,V,L,V,L,V,L,L,V,L,L,V,L,V,L,V,,,,,,,,,,,,,,,,,,,,,,,,,,
1929-30,Atlético de Madrid,L,V,L,L,V,V,L,V,L,V,L,V,V,L,L,V,L,V,,,,,,,,,,,,,,,,,,,,,,,,,,
1930-31,Athletic Club,V,L,V,L,V,L,V,L,V,L,V,L,V,L,V,L,V,L,,,,,,,,,,,,,,,,,,,,,,,,,,
1930-31,Racing de Santander,L,V,L,V,L,L,V,L,V,V,L,V,L,V,V,L,V,L,,,,,,,,,,,,,,,,,,,,,,,,,,
1930-31,Real Sociedad,L,V,L,V,V,L,V,L,V,V,L,V,L,L,V,L,V,L,,,,,,,,,,,,,,,,,,,,,,,,,,
1930-31,Barcelona,L,V,V,L,V,L,V,L,V,V,L,L,V,L,V,L,V,L,,,,,,,,,,,,,,,,,,,,,,,,,,
1930-31,Arenas,L,V,L,V,L,V,L,V,L,V,L,V,L,V,L,V,L,V,,,,,,,,,,,,,,,,,,,,,,,,,,
1930-31,Real Madrid,L,V,V,L,L,V,L,V,L,V,L,L,V,V,L,V,L,V,,,,,,,,,,,,,,,,,,,,,,,,,,
1930-31,Real Unión,V,L,V,L,L,V,L,V,L,L,V,L,V,V,L,V,L,V,,,,,,,,,,,,,,,,,,,,,,,,,,
1930-31,Alavés,V,L,L,V,V,L,L,V,L,L,V,V,L,L,V,V,L,V,,,,,,,,,,,,,,,,,,,,,,,,,,
1930-31,Espanyol,V,L,V,L,V,V,L,V,L,L,V,L,V,L,L,V,L,V,,,,,,,,,,,,,,,,,,,,,,,,,,
1930-31,Europa,V,L,L,V,L,V,V,L,V,L,V,V,L,V,L,L,V,L,,,,,,,,,,,,,,,,,,,,,,,,,,
1931-32,Real Madrid,L,V,V,L,V,L,L,V,L,V,L,L,V,L,V,V,L,V,,,,,,,,,,,,,,,,,,,,,,,,,,
1931-32,Athletic Club,V,L,V,L,V,L,V,L,L,L,V,L,V,L,V,L,V,V,,,,,,,,,,,,,,,,,,,,,,,,,,
1931-32,Barcelona,V,L,V,V,L,L,V,L,V,L,V,L,L,V,V,L,V,L,,,,,,,,,,,,,,,,,,,,,,,,,,
1931-32,Racing de Santander,V,L,V,L,V,L,V,L,V,L,V,L,V,L,V,L,V,L,,,,,,,,,,,,,,,,,,,,,,,,,,
1931-32,Arenas,L,V,L,V,L,V,L,V,V,V,L,V,L,V,L,V,L,L,,,,,,,,,,,,,,,,,,,,,,,,,,
1931-32,Espanyol,L,V,L,L,V,V,L,V,L,V,L,V,V,L,L,V,L,V,,,,,,,,,,,,,,,,,,,,,,,,,,
1931-32,Valencia,V,L,L,V,L,V,L,V,L,L,V,V,L,V,L,V,L,V,,,,,,,,,,,,,,,,,,,,,,,,,,
1931-32,Real Sociedad,V,L,V,L,L,V,L,V,V,L,V,L,V,V,L,V,L,L,,,,,,,,,,,,,,,,,,,,,,,,,,
1931-32,Alavés,L,V,L,V,L,V,V,L,V,V,L,V,L,V,L,L,V,L,,,,,,,,,,,,,,,,,,,,,,,,,,
1931-32,Real Unión,L,V,L,V,V,L,V,L,L,V,L,V,L,L,V,L,V,V,,,,,,,,,,,,,,,,,,,,,,,,,,
1932-33,Real Madrid,V,L,V,L,L,V,L,V,V,L,V,L,V,V,L,V,L,L,,,,,,,,,,,,,,,,,,,,,,,,,,
1932-33,Athletic Club,L,V,L,L,V,V,L,V,L,V,L,V,V,L,L,V,L,V,,,,,,,,,,,,,,,,,,,,,,,,,,
1932-33,Espanyol,L,V,L,V,L,V,L,V,V,V,L,V,L,V,L,V,L,L,,,,,,,,,,,,,,,,,,,,,,,,,,
1932-33,Barcelona,V,L,V,L,V,L,V,L,L,L,V,L,V,L,V,L,V,V,,,,,,,,,,,,,,,,,,,,,,,,,,
1932-33,Betis,V,L,L,V,L,V,L,V,L,L,V,V,L,V,L,V,L,V,,,,,,,,,,,,,,,,,,,,,,,,,,
1932-33,Real Sociedad,L,V,V,L,V,L,L,V,L,V,L,L,V,L,V,V,L,V,,,,,,,,,,,,,,,,,,,,,,,,,,
1932-33,Arenas,V,L,V,V,L,L,V,L,V,L,V,L,L,V,V,L,V,L,,,,,,,,,,,,,,,,,,,,,,,,,,
1932-33,Racing de Santander,V,L,V,L,V,L,V,L,V,L,V,L,V,L,V,L,V,L,,,,,,,,,,,,,,,,,,,,,,,,,,
1932-33,Valencia,L,V,L,V,V,L,V,L,L,V,L,V,L,L,V,L,V,V,,,,,,,,,,,,,,,,,,,,,,,,,,
1932-33,Alavés,L,V,L,V,L,V,V,L,V,V,L,V,L,V,L,L,V,L,,,,,,,,,,,,,,,,,,,,,,,,,,
1933-34,Athletic Club,V,L,V,L,V,L,V,L,V,L,V,L,V,L,V,L,V,L,,,,,,,,,,,,,,,,,,,,,,,,,,
1933-34,Real Madrid,V,L,L,V,L,V,L,V,L,L,V,V,L,V,L,V,L,V,,,,,,,,,,,,,,,,,,,,,,,,,,
1933-34,Racing de Santander,V,L,V,L,V,L,V,V,L,L,V,L,V,L,V,L,L,V,,,,,,,,,,,,,,,,,,,,,,,,,,
1933-34,Betis,L,V,V,L,V,L,V,L,V,V,L,L,V,L,V,L,V,L,,,,,,,,,,,,,,,,,,,,,,,,,,
1933-34,Real Sociedad,V,L,V,L,L,V,L,V,L,L,V,L,V,V,L,V,L,V,,,,,,,,,,,,,,,,,,,,,,,,,,
1933-34,Real Oviedo,L,V,L,V,V,L,V,L,V,V,L,V,L,L,V,L,V,L,,,,,,,,,,,,,,,,,,,,,,,,,,
1933-34,Valencia,L,V,L,V,L,V,L,L,V,V,L,V,L,V,L,V,V,L,,,,,,,,,,,,,,,,,,,,,,,,,,
1933-34,Espanyol,L,V,L,V,L,V,V,L,V,V,L,V,L,V,L,L,V,L,,,,,,,,,,,,,,,,,,,,,,,,,,
1933-34,Barcelona,V,L,V,L,V,L,L,V,L,L,V,L,V,L,V,V,L,V,,,,,,,,,,,,,,,,,,,,,,,,,,
1933-34,Arenas,L,V,L,V,L,V,L,V,L,V,L,V,L,V,L,V,L,V,,,,,,,,,,,,,,,,,,,,,,,,,,
1934-35,Betis,V,L,V,L,L,V,L,V,L,V,L,L,V,L,V,V,L,V,L,V,L,V,,,,,,,,,,,,,,,,,,,,,,
1934-35,Real Madrid,L,V,L,V,L,V,L,V,V,L,V,V,L,V,L,V,L,V,L,L,V,L,,,,,,,,,,,,,,,,,,,,,,
1934-35,Real Oviedo,V,L,V,L,V,L,V,L,V,V,L,L,V,L,V,L,V,L,V,L,L,V,,,,,,,,,,,,,,,,,,,,,,
1934-35,Athletic Club,L,V,V,L,V,L,V,L,V,L,V,V,L,L,V,L,V,L,V,L,V,L,,,,,,,,,,,,,,,,,,,,,,
1934-35,Sevilla,L,V,L,V,V,L,V,L,V,L,V,V,L,V,L,L,V,L,V,L,V,L,,,,,,,,,,,,,,,,,,,,,,
1934-35,Barcelona,L,V,L,V,L,V,L,V,L,V,L,V,L,V,L,V,L,V,L,V,L,V,,,,,,,,,,,,,,,,,,,,,,
1934-35,Atlético de Madrid,V,L,V,L,V,L,V,L,L,V,L,L,V,L,V,L,V,L,V,V,L,V,,,,,,,,,,,,,,,,,,,,,,
1934-35,Espanyol,V,L,V,L,V,L,V,L,V,L,V,L,V,L,V,L,V,L,V,L,V,L,,,,,,,,,,,,,,,,,,,,,,
1934-35,Valencia,L,V,L,V,L,V,L,V,L,L,V,V,L,V,L,V,L,V,L,V,V,L,,,,,,,,,,,,,,,,,,,,,,
1934-35,Racing de Santander,L,V,L,V,L,V,V,L,V,L,V,V,L,V,L,V,L,L,V,L,V,L,,,,,,,,,,,,,,,,,,,,,,
1934-35,Real Sociedad,V,L,V,L,V,L,L,V,L,V,L,L,V,L,V,L,V,V,L,V,L,V,,,,,,,,,,,,,,,,,,,,,,
1934-35,Arenas,V,L,L,V,L,V,L,V,L,V,L,L,V,V,L,V,L,V,L,V,L,V,,,,,,,,,,,,,,,,,,,,,,
1935-36,Athletic Club,V,L,V,L,V,L,V,L,V,L,V,L,V,L,V,L,V,L,V,L,V,L,,,,,,,,,,,,,,,,,,,,,,
1935-36,Real Madrid,V,L,V,L,V,L,V,L,L,V,L,L,V,L,V,L,V,L,V,V,L,V,,,,,,,,,,,,,,,,,,,,,,
1935-36,Real Oviedo,L,V,L,V,L,V,L,V,L,L,V,V,L,V,L,V,L,V,L,V,V,L,,,,,,,,,,,,,,,,,,,,,,
1935-36,Racing de Santander,V,L,V,L,L,V,L,V,L,V,L,L,V,L,V,V,L,V,L,V,L,V,,,,,,,,,,,,,,,,,,,,,,
1935-36,Barcelona,V,L,V,L,V,L,L,V,L,V,L,L,V,L,V,L,V,V,L,V,L,V,,,,,,,,,,,,,,,,,,,,,,
1935-36,Hércules,L,V,L,V,V,L,V,L,V,L,V,V,L,V,L,L,V,L,V,L,V,L,,,,,,,,,,,,,,,,,,,,,,
1935-36,Betis,L,V,V,L,V,L,V,L,V,L,V,V,L,L,V,L,V,L,V,L,V,L,,,,,,,,,,,,,,,,,,,,,,
1935-36,Valencia,L,V,L,V,L,V,L,V,L,V,L,V,L,V,L,V,L,V,L,V,L,V,,,,,,,,,,,,,,,,,,,,,,
1935-36,Espanyol,L,V,L,V,L,V,V,L,V,L,V,V,L,V,L,V,L,L,V,L,V,L,,,,,,,,,,,,,,,,,,,,,,
1935-36,Sevilla,V,L,L,V,L,V,L,V,L,V,L,L,V,V,L,V,L,V,L,V,L,V,,,,,,,,,,,,,,,,,,,,,,
1935-36,Atlético de Madrid,L,V,L,V,L,V,L,V,V,L,V,V,L,V,L,V,L,V,L,L,V,L,,,,,,,,,,,,,,,,,,,,,,
1935-36,Osasuna,V,L,V,L,V,L,V,L,V,V,L,L,V,L,V,L,V,L,V,L,L,V,,,,,,,,,,,,,,,,,,,,,,
1939-40,Atlético Aviación,V,L,V,L,V,L,V,L,V,L,V,L,V,L,V,L,V,L,V,L,V,L,,,,,,,,,,,,,,,,,,,,,,
1939-40,Sevilla,V,L,L,V,L,V,L,V,L,V,L,L,V,V,L,V,L,V,L,V,L,V,,,,,,,,,,,,,,,,,,,,,,
1939-40,Athletic Club,L,V,L,V,L,V,L,V,L,L,V,V,L,V,L,V,L,V,L,V,V,L,,,,,,,,,,,,,,,,,,,,,,
1939-40,Real Madrid,L,V,L,V,L,V,L,V,L,V,L,V,L,V,L,V,L,V,L,V,L,V,,,,,,,,,,,,,,,,,,,,,,
1939-40,Espanyol,V,L,V,L,V,L,L,V,L,V,L,L,V,L,V,L,V,V,L,V,L,V,,,,,,,,,,,,,,,,,,,,,,
1939-40,Hércules,L,V,L,V,L,V,L,V,V,L,V,V,L,V,L,V,L,V,L,L,V,L,,,,,,,,,,,,,,,,,,,,,,
1939-40,Real Zaragoza,L,V,L,V,V,L,V,L,V,L,V,V,L,V,L,L,V,L,V,L,V,L,,,,,,,,,,,,,,,,,,,,,,
1939-40,Valencia,V,L,V,L,V,L,V,L,V,V,L,L,V,L,V,L,V,L,V,L,L,V,,,,,,,,,,,,,,,,,,,,,,
1939-40,Barcelona,L,V,L,V,L,V,V,L,V,L,V,V,L,V,L,V,L,L,V,L,V,L,,,,,,,,,,,,,,,,,,,,,,
1939-40,Celta de Vigo,V,L,V,L,V,L,V,L,L,V,L,L,V,L,V,L,V,L,V,V,L,V,,,,,,,,,,,,,,,,,,,,,,
1939-40,Betis,L,V,V,L,V,L,V,L,V,L,V,V,L,L,V,L,V,L,V,L,V,L,,,,,,,,,,,,,,,,,,,,,,
1939-40,Racing de Santander,V,L,V,L,L,V,L,V,L,V,L,L,V,L,V,V,L,V,L,V,L,V,,,,,,,,,,,,,,,,,,,,,,
1940-41,Atlético Aviación,L,V,L,V,L,V,L,V,V,L,V,V,L,V,L,V,L,V,L,L,V,L,,,,,,,,,,,,,,,,,,,,,,
1940-41,Athletic Club,V,L,V,L,V,L,V,L,V,V,L,L,V,L,V,L,V,L,V,L,L,V,,,,,,,,,,,,,,,,,,,,,,
1940-41,Valencia,L,V,V,L,V,L,V,L,V,L,V,V,L,L,V,L,V,L,V,L,V,L,,,,,,,,,,,,,,,,,,,,,,
1940-41,Barcelona,V,L,V,L,V,L,V,L,V,L,V,L,V,L,V,L,V,L,V,L,V,L,,,,,,,,,,,,,,,,,,,,,,
1940-41,Sevilla,L,V,L,V,L,V,L,V,L,L,V,V,L,V,L,V,L,V,L,V,V,L,,,,,,,,,,,,,,,,,,,,,,
1940-41,Real Madrid,V,L,V,L,V,L,V,L,L,V,L,L,V,L,V,L,V,L,V,V,L,V,,,,,,,,,,,,,,,,,,,,,,
1940-41,Espanyol,L,V,L,V,L,V,L,V,L,V,L,V,L,V,L,V,L,V,L,V,L,V,,,,,,,,,,,,,,,,,,,,,,
1940-41,Real Oviedo,V,L,L,V,L,V,L,V,L,V,L,L,V,V,L,V,L,V,L,V,L,V,,,,,,,,,,,,,,,,,,,,,,
1940-41,Hércules,L,V,L,V,L,V,V,L,V,L,V,V,L,V,L,V,L,L,V,L,V,L,,,,,,,,,,,,,,,,,,,,,,
1940-41,Celta de Vigo,V,L,V,L,L,V,L,V,L,V,L,L,V,L,V,V,L,V,L,V,L,V,,,,,,,,,,,,,,,,,,,,,,
1940-41,Real Zaragoza,L,V,L,V,V,L,V,L,V,L,V,V,L,V,L,L,V,L,V,L,V,L,,,,,,,,,,,,,,,,,,,,,,
1940-41,Murcia,V,L,V,L,V,L,L,V,L,V,L,L,V,L,V,L,V,V,L,V,L,V,,,,,,,,,,,,,,,,,,,,,,
1941-42,Valencia,V,L,V,L,V,L,V,L,V,L,V,L,V,L,V,L,V,L,V,L,V,L,V,L,V,L,,,,,,,,,,,,,,,,,,
