Year,Winners,Runners-Up
2017,Real Madrid,Barcelona
2016,Barcelona,Real Madrid
2015,Barcelona,Real Madrid
2014,Atletico Madrid,Barcelona
2013,Barcelona,Real Madrid
2012,Real Madrid,Barcelona
2011,Barcelona,Real Madrid
2010,Barcelona,Real Madrid
2009,Barcelona,Real Madrid
2008,Real Madrid,Villarreal
2007,Real Madrid,Barcelona
2006,Barcelona,Real Madrid
2005,Barcelona,Real Madrid
2004,Valencia,Barcelona
2003,Real Madrid,Real Sociedad
2002,Valencia,Deportivo La Coruna
2001,Real Madrid,Deportivo La Coruna
2000,Deportivo La Coruna,Barcelona
1999,Barcelona,Real Madrid
1998,Barcelona,Athletic Bilbao
1997,Real Madrid,Barcelona
1996,Atletico Madrid,Valencia
1995,Real Madrid,Deportivo La Coruna
1994,Barcelona,Deportivo La Coruna
1993,Barcelona,Real Madrid
1992,Barcelona,Real Madrid
1991,Barcelona,Atletico Madrid
1990,Real Madrid,Valencia
1989,Real Madrid,Barcelona
1988,Real Madrid,Real Sociedad
1987,Real Madrid,Barcelona
1986,Real Madrid,Barcelona
1985,Barcelona,Atletico Madrid
1984,Athletic Bilbao,Real Madrid
1983,Athletic Bilbao,Real Madrid
1982,Real Sociedad,Barcelona
1981,Real Sociedad,Real Madrid
1980,Real Madrid,Real Sociedad
1979,Real Madrid,Sporting Gijon
1978,Real Madrid,Barcelona
1977,Atletico Madrid,Barcelona
1976,Real Madrid,Barcelona
1975,Real Madrid,Zaragoza
1974,Barcelona,Atletico Madrid
1973,Atletico Madrid,Barcelona
1972,Real Madrid,Valencia
1971,Valencia,Barcelona
1970,Atletico Madrid,Athletic Bilbao
1969,Real Madrid,Las Palmas
1968,Real Madrid,Barcelona
1967,Real Madrid,Barcelona
1966,Atletico Madrid,Real Madrid
1965,Real Madrid,Atletico Madrid
1964,Real Madrid,Barcelona
1963,Real Madrid,Atletico Madrid
1962,Real Madrid,Barcelona
1961,Real Madrid,Atletico Madrid
1960,Barcelona,Real Madrid
1959,Barcelona,Real Madrid
1958,Real Madrid,Atletico Madrid
1957,Real Madrid,Sevilla
1956,Athletic Bilbao,Barcelona
1955,Real Madrid,Barcelona
1954,Real Madrid,Barcelona
1953,Barcelona,Valencia
1952,Barcelona,Athletic Bilbao
1951,Atletico Madrid,Sevilla
1950,Atletico Madrid,Deportivo La Coruna
1949,Barcelona,Valencia
1948,Barcelona,Valencia
1947,Valencia,Athletic Bilbao
1946,Sevilla,Barcelona
1945,Barcelona,Real Madrid
1944,Valencia,Atletico Aviacion
1943,Athletic Bilbao,Sevilla
1942,Valencia,Real Madrid
1941,Atletico Aviacion,Athletic Bilbao
1940,Atletico Aviacion,Sevilla
1936,Athletic Bilbao,Real Madrid
1935,Real Betis,Real Madrid
1934,Athletic Bilbao,Real Madrid
1933,Real Madrid,Athletic Bilbao
1932,Real Madrid,Athletic Bilbao
1931,Athletic Bilbao,Racing Santander
1930,Athletic Bilbao,Barcelona
1929,Barcelona,Real Madrid
